Frame#	Time
0	10:51:48 29036
1	10:51:48 53954
2	10:51:48 78952
3	10:51:48 103947
4	10:51:48 128988
5	10:51:48 154014
6	10:51:48 178959
7	10:51:48 203993
8	10:51:48 228867
9	10:51:48 253963
10	10:51:48 278939
11	10:51:48 303988
12	10:51:48 328989
13	10:51:48 353936
14	10:51:48 379001
15	10:51:48 403872
16	10:51:48 429094
17	10:51:48 453993
18	10:51:48 479019
19	10:51:48 503890
20	10:51:48 528999
21	10:51:48 553993
22	10:51:48 579010
23	10:51:48 603974
24	10:51:48 629002
25	10:51:48 653941
26	10:51:48 679103
27	10:51:48 703963
28	10:51:48 728912
29	10:51:48 754059
30	10:51:48 779037
31	10:51:48 803984
32	10:51:48 829042
33	10:51:48 854017
34	10:51:48 879022
35	10:51:48 904004
36	10:51:48 929023
37	10:51:48 953962
38	10:51:48 978955
39	10:51:49 4002
40	10:51:49 28975
41	10:51:49 54021
42	10:51:49 78999
43	10:51:49 103978
44	10:51:49 129080
45	10:51:49 153987
46	10:51:49 179038
47	10:51:49 203985
48	10:51:49 229008
49	10:51:49 254006
50	10:51:49 279008
51	10:51:49 304001
52	10:51:49 328985
53	10:51:49 354066
54	10:51:49 378992
55	10:51:49 404000
56	10:51:49 429067
57	10:51:49 453948
58	10:51:49 479038
59	10:51:49 504060
60	10:51:49 529040
61	10:51:49 553974
62	10:51:49 579092
63	10:51:49 604060
64	10:51:49 628948
65	10:51:49 654011
66	10:51:49 679027
67	10:51:49 704116
68	10:51:49 729073
69	10:51:49 754037
70	10:51:49 779053
71	10:51:49 804010
72	10:51:49 829022
73	10:51:49 854077
74	10:51:49 879052
75	10:51:49 904169
76	10:51:49 929098
77	10:51:49 954084
78	10:51:49 979126
79	10:51:50 4091
80	10:51:50 29027
81	10:51:50 54115
82	10:51:50 79071
83	10:51:50 104060
84	10:51:50 129047
85	10:51:50 154098
86	10:51:50 179062
87	10:51:50 204024
88	10:51:50 229053
89	10:51:50 254075
90	10:51:50 279065
91	10:51:50 304011
92	10:51:50 329133
93	10:51:50 354078
94	10:51:50 379044
95	10:51:50 404058
96	10:51:50 429042
97	10:51:50 454087
98	10:51:50 479113
99	10:51:50 504092
100	10:51:50 529090
101	10:51:50 554024
102	10:51:50 579055
103	10:51:50 604076
104	10:51:50 629054
105	10:51:50 654094
106	10:51:50 679103
107	10:51:50 704068
108	10:51:50 729110
109	10:51:50 754114
110	10:51:50 779101
111	10:51:50 804175
112	10:51:50 829094
113	10:51:50 854147
114	10:51:50 879150
115	10:51:50 904058
116	10:51:50 929177
117	10:51:50 954045
118	10:51:50 979135
119	10:51:51 4097
120	10:51:51 29174
121	10:51:51 54025
122	10:51:51 79128
123	10:51:51 104040
124	10:51:51 129111
125	10:51:51 154175
126	10:51:51 179253
127	10:51:51 204190
128	10:51:51 229160
129	10:51:51 254143
130	10:51:51 279188
131	10:51:51 304138
132	10:51:51 329129
133	10:51:51 354135
134	10:51:51 379113
135	10:51:51 404115
136	10:51:51 429105
