Time	Position	Counts	Elapsed	USecs
10:51:47 905532	70.00749999999999	140015	2670190.8	2670190835
10:51:47 937521	70.09350000000001	140187	2670222.789	2670222810
10:51:47 969524	70.27500000000001	140550	2670254.792	2670254821
10:51:48 17412	70.727	141454	2670302.68	2670302701
10:51:48 65345	71.37649999999999	142753	2670350.613	2670350634
10:51:48 97311	71.917	143834	2670382.579	2670382600
10:51:48 129269	72.389	144778	2670414.537	2670414565
10:51:48 161283	72.8715	145743	2670446.551	2670446573
10:51:48 193297	73.3475	146695	2670478.565	2670478586
10:51:48 225229	73.83	147660	2670510.497	2670510530
10:51:48 257190	74.306	148612	2670542.458	2670542486
10:51:48 289142	74.7805	149561	2670574.41	2670574432
10:51:48 321069	75.264	150528	2670606.337	2670606367
10:51:48 368974	75.842	151684	2670654.242	2670654271
10:51:48 400966	76.4675	152935	2670686.234	2670686262
10:51:48 432915	76.935	153870	2670718.183	2670718213
10:51:48 464911	77.41800000000001	154836	2670750.179	2670750201
10:51:48 496864	77.90049999999999	155801	2670782.132	2670782162
10:51:48 528816	78.376	156752	2670814.084	2670814113
10:51:48 560784	78.84699999999999	157694	2670846.052	2670846075
10:51:48 592718	79.32250000000001	158645	2670877.986	2670878014
10:51:48 624733	79.8125	159625	2670910.001	2670910022
10:51:48 656634	80.2805	160561	2670941.902	2670941936
10:51:48 688587	80.76649999999999	161533	2670973.855	2670973876
10:51:48 720595	81.2385	162477	2671005.863	2671005905
10:51:48 752579	81.7325	163465	2671037.847	2671037876
10:51:48 784546	82.2045	164409	2671069.814	2671069837
10:51:48 816484	82.679	165358	2671101.752	2671101781
10:51:48 848461	83.1545	166309	2671133.729	2671133757
10:51:48 880418	83.62949999999999	167259	2671165.686	2671165708
10:51:48 912416	84.1125	168225	2671197.684	2671197706
10:51:48 944374	84.58750000000001	169175	2671229.642	2671229664
10:51:48 976323	85.0705	170141	2671261.591	2671261612
10:51:49 8292	85.54900000000001	171098	2671293.56	2671293585
10:51:49 40270	86.02849999999999	172057	2671325.538	2671325567
10:51:49 72303	86.51049999999999	173021	2671357.571	2671357599
10:51:49 104271	86.994	173988	2671389.539	2671389567
10:51:49 136137	87.4725	174945	2671421.405	2671421431
10:51:49 168105	87.9365	175873	2671453.373	2671453428
10:51:49 200102	88.42749999999999	176855	2671485.37	2671485410
10:51:49 232043	88.89449999999999	177789	2671517.311	2671517338
10:51:49 264042	89.3775	178755	2671549.31	2671549351
10:51:49 295975	89.852	179704	2671581.243	2671581269
10:51:49 327924	90.3355	180671	2671613.192	2671613215
10:51:49 359988	90.8105	181621	2671645.256	2671645278
10:51:49 391929	91.301	182602	2671677.197	2671677224
10:51:49 423874	91.7685	183537	2671709.142	2671709173
10:51:49 455812	92.25149999999999	184503	2671741.08	2671741104
10:51:49 487798	92.7265	185453	2671773.066	2671773103
10:51:49 519762	93.20950000000001	186419	2671805.03	2671805053
10:51:49 551688	93.684	187368	2671836.956	2671836977
10:51:49 583648	94.15949999999999	188319	2671868.916	2671868960
10:51:49 615629	94.642	189284	2671900.897	2671900920
10:51:49 647588	95.11750000000001	190235	2671932.856	2671932902
10:51:49 679543	95.6005	191201	2671964.811	2671964831
10:51:49 711537	96.072	192144	2671996.805	2671996827
10:51:49 743480	96.5545	193109	2672028.748	2672028775
10:51:49 775445	97.0335	194067	2672060.713	2672060743
10:51:49 807435	97.50449999999999	195009	2672092.703	2672092733
10:51:49 839354	97.991	195982	2672124.622	2672124648
10:51:49 871298	98.46250000000001	196925	2672156.566	2672156588
10:51:49 903264	98.9495	197899	2672188.532	2672188561
10:51:49 935304	99.4285	198857	2672220.572	2672220596
10:51:49 967186	99.90349999999999	199807	2672252.454	2672252475
10:51:49 999160	100.3865	200773	2672284.428	2672284450
10:51:50 31091	100.8535	201707	2672316.359	2672316383
10:51:50 63046	101.3365	202673	2672348.314	2672348343
10:51:50 95044	101.8115	203623	2672380.312	2672380335
10:51:50 127011	102.295	204590	2672412.279	2672412308
10:51:50 158941	102.77	205540	2672444.209	2672444245
10:51:50 190938	103.253	206506	2672476.206	2672476256
10:51:50 222870	103.728	207456	2672508.138	2672508169
10:51:50 254810	104.203	208406	2672540.078	2672540095
10:51:50 286756	104.6855	209371	2672572.024	2672572046
10:51:50 318782	105.1685	210337	2672604.05	2672604078
