Frame#	Time
0	13:18:56 766546
1	13:18:56 781890
2	13:18:56 802547
3	13:18:56 827435
4	13:18:56 852454
5	13:18:56 877463
6	13:18:56 902383
7	13:18:56 927437
8	13:18:56 952515
9	13:18:56 977461
10	13:18:57 2421
11	13:18:57 27583
12	13:18:57 52477
13	13:18:57 77508
14	13:18:57 102504
15	13:18:57 127514
16	13:18:57 152495
17	13:18:57 177402
18	13:18:57 202407
19	13:18:57 227483
20	13:18:57 252435
21	13:18:57 277447
22	13:18:57 302379
23	13:18:57 327404
24	13:18:57 352504
25	13:18:57 377573
26	13:18:57 402407
27	13:18:57 427560
28	13:18:57 452396
29	13:18:57 477597
30	13:18:57 502432
31	13:18:57 527535
32	13:18:57 552474
33	13:18:57 577508
34	13:18:57 602385
35	13:18:57 627397
36	13:18:57 652385
37	13:18:57 677435
38	13:18:57 702476
39	13:18:57 727505
40	13:18:57 752555
41	13:18:57 777388
42	13:18:57 802473
43	13:18:57 827549
44	13:18:57 852464
45	13:18:57 877522
46	13:18:57 902426
47	13:18:57 927547
48	13:18:57 952531
49	13:18:57 977599
50	13:18:58 2455
51	13:18:58 27539
52	13:18:58 52380
53	13:18:58 77481
54	13:18:58 102471
55	13:18:58 127574
56	13:18:58 152335
57	13:18:58 177533
58	13:18:58 202442
59	13:18:58 227390
60	13:18:58 252474
61	13:18:58 277434
62	13:18:58 302482
63	13:18:58 327444
64	13:18:58 352506
65	13:18:58 377510
66	13:18:58 402547
67	13:18:58 427525
68	13:18:58 452600
69	13:18:58 477520
70	13:18:58 502495
71	13:18:58 527571
72	13:18:58 552449
73	13:18:58 577464
74	13:18:58 602468
75	13:18:58 627665
76	13:18:58 652590
77	13:18:58 677516
78	13:18:58 702509
79	13:18:58 727603
80	13:18:58 752551
81	13:18:58 777580
82	13:18:58 802517
83	13:18:58 827569
84	13:18:58 852498
85	13:18:58 877637
86	13:18:58 902627
87	13:18:58 927502
88	13:18:58 952521
89	13:18:58 977606
90	13:18:59 2479
91	13:18:59 27560
