Time	Position	Counts	Elapsed	USecs
13:18:56 662746	50.0115	100023	6373375.386	6373375414
13:18:56 694705	50.1975	100395	6373407.345	6373407367
13:18:56 726707	50.4395	100879	6373439.347	6373439365
13:18:56 758643	50.7765	101553	6373471.283	6373471309
13:18:56 790640	51.211	102422	6373503.28	6373503309
13:18:56 838635	51.901	103802	6373551.275	6373551300
13:18:56 870593	52.396	104792	6373583.233	6373583256
13:18:56 902496	52.8715	105743	6373615.136	6373615180
13:18:56 934445	53.362	106724	6373647.085	6373647119
13:18:56 966422	53.83	107660	6373679.062	6373679084
13:18:56 998374	54.321	108642	6373711.014	6373711035
13:18:57 30317	54.7845	109569	6373742.957	6373742982
13:18:57 62307	55.2675	110535	6373774.947	6373774989
13:18:57 110319	55.85	111700	6373822.959	6373822985
13:18:57 142262	56.467	112934	6373854.902	6373854927
13:18:57 174198	56.9385	113877	6373886.838	6373886879
13:18:57 206217	57.4175	114835	6373918.857	6373918877
13:18:57 238134	57.8965	115793	6373950.774	6373950800
13:18:57 270121	58.3795	116759	6373982.761	6373982788
13:18:57 302046	58.8545	117709	6374014.686	6374014743
13:18:57 334035	59.3375	118675	6374046.675	6374046700
13:18:57 366007	59.8085	119617	6374078.647	6374078670
13:18:57 397965	60.2915	120583	6374110.605	6374110630
13:18:57 429894	60.767	121534	6374142.534	6374142556
13:18:57 461902	61.25	122500	6374174.542	6374174564
13:18:57 493832	61.725	123450	6374206.472	6374206494
13:18:57 525793	62.2005	124401	6374238.433	6374238459
13:18:57 557764	62.683	125366	6374270.404	6374270444
13:18:57 589746	63.1625	126325	6374302.386	6374302407
13:18:57 621702	63.637	127274	6374334.342	6374334367
13:18:57 653682	64.12050000000001	128241	6374366.322	6374366346
13:18:57 685625	64.595	129190	6374398.265	6374398286
13:18:57 717623	65.0705	130141	6374430.263	6374430307
13:18:57 749577	65.557	131114	6374462.217	6374462239
13:18:57 781582	66.04000000000001	132080	6374494.222	6374494243
13:18:57 813564	66.515	133030	6374526.204	6374526226
13:18:57 845442	66.98999999999999	133980	6374558.082	6374558110
13:18:57 877427	67.47199999999999	134944	6374590.067	6374590096
13:18:57 909391	67.94799999999999	135896	6374622.031	6374622055
13:18:57 941333	68.423	136846	6374653.973	6374653999
13:18:57 973380	68.90600000000001	137812	6374686.02	6374686042
13:18:58 5278	69.389	138778	6374717.918	6374717944
13:18:58 37244	69.86	139720	6374749.884	6374749913
13:18:58 69221	70.339	140678	6374781.861	6374781889
13:18:58 101128	70.82550000000001	141651	6374813.768	6374813803
13:18:58 133099	71.29300000000001	142586	6374845.739	6374845765
13:18:58 165074	71.77200000000001	143544	6374877.714	6374877742
13:18:58 197040	72.25149999999999	144503	6374909.68	6374909722
13:18:58 228982	72.73	145460	6374941.622	6374941642
13:18:58 261002	73.20950000000001	146419	6374973.642	6374973683
13:18:58 292959	73.684	147368	6375005.599	6375005645
13:18:58 324906	74.17100000000001	148342	6375037.546	6375037568
13:18:58 356870	74.642	149284	6375069.51	6375069535
13:18:58 388824	75.133	150266	6375101.464	6375101504
13:18:58 420759	75.608	151216	6375133.399	6375133426
13:18:58 452759	76.0795	152159	6375165.399	6375165427
13:18:58 484670	76.562	153124	6375197.31	6375197335
13:18:58 516639	77.03400000000001	154068	6375229.279	6375229308
13:18:58 548660	77.52	155040	6375261.3	6375261327
13:18:58 580558	77.995	155990	6375293.198	6375293222
13:18:58 612564	78.474	156948	6375325.204	6375325227
13:18:58 644487	78.9495	157899	6375357.127	6375357155
13:18:58 676423	79.42449999999999	158849	6375389.063	6375389118
13:18:58 708407	79.91500000000001	159830	6375421.047	6375421073
13:18:58 740394	80.3865	160773	6375453.034	6375453061
13:18:58 772408	80.86499999999999	161730	6375485.048	6375485075
13:18:58 804238	81.34050000000001	162681	6375516.878	6375516901
13:18:58 836268	81.819	163638	6375548.908	6375548930
13:18:58 868228	82.30200000000001	164604	6375580.868	6375580890
13:18:58 900207	82.7775	165555	6375612.847	6375612869
13:18:58 932125	83.253	166506	6375644.765	6375644791
13:18:58 964125	83.7355	167471	6375676.765	6375676787
13:18:58 996038	84.211	168422	6375708.678	6375708707
13:18:59 27969	84.70050000000001	169401	6375740.609	6375740626
13:18:59 59985	85.16849999999999	170337	6375772.625	6375772654
13:18:59 91933	85.651	171302	6375804.573	6375804596
13:18:59 123966	86.127	172254	6375836.606	6375836628
13:18:59 155831	86.61	173220	6375868.471	6375868493
13:18:59 187820	87.0925	174185	6375900.46	6375900481
13:18:59 219804	87.5595	175119	6375932.444	6375932467
13:18:59 251751	88.0425	176085	6375964.391	6375964428
13:18:59 283706	88.5215	177043	6375996.346	6375996367
13:18:59 315662	89.0005	178001	6376028.302	6376028338
13:18:59 347670	89.47150000000001	178943	6376060.31	6376060347
13:18:59 379545	89.95050000000001	179901	6376092.185	6376092209
13:18:59 411535	90.4335	180867	6376124.175	6376124203
13:18:59 443542	90.9085	181817	6376156.182	6376156210
13:18:59 475445	91.39149999999999	182783	6376188.085	6376188108
13:18:59 507458	91.874	183748	6376220.098	6376220119
13:18:59 539339	92.34999999999999	184700	6376251.979	6376252006
13:18:59 571317	92.8245	185649	6376283.957	6376283985
13:18:59 603287	93.3	186600	6376315.927	6376315941
13:18:59 635300	93.7825	187565	6376347.94	6376347960
13:18:59 667273	94.258	188516	6376379.913	6376379935
13:18:59 699260	94.7405	189481	6376411.9	6376411923
13:18:59 731171	95.2165	190433	6376443.811	6376443851
13:18:59 763161	95.706	191412	6376475.801	6376475827
13:18:59 795130	96.17400000000001	192348	6376507.77	6376507812
13:18:59 827134	96.6525	193305	6376539.774	6376539797
13:18:59 859050	97.13200000000001	194264	6376571.69	6376571731
13:18:59 891023	97.60299999999999	195206	6376603.663	6376603690
13:18:59 922993	98.086	196172	6376635.633	6376635671
13:18:59 954906	98.56100000000001	197122	6376667.546	6376667571
13:18:59 986868	99.044	198088	6376699.508	6376699537
13:19:00 18876	99.52249999999999	199045	6376731.516	6376731539
13:19:00 50885	100.0055	200011	6376763.525	6376763555
13:19:00 82804	100.4765	200953	6376795.444	6376795466
13:19:00 114733	100.9675	201935	6376827.373	6376827397
13:19:00 146665	101.435	202870	6376859.305	6376859335
13:19:00 178634	101.918	203836	6376891.274	6376891301
13:19:00 210628	102.393	204786	6376923.268	6376923304
13:19:00 242631	102.868	205736	6376955.271	6376955299
13:19:00 274645	103.3545	206709	6376987.285	6376987307
13:19:00 306516	103.837	207674	6377019.156	6377019185
13:19:00 338446	104.3165	208633	6377051.086	6377051111
13:19:00 370461	104.7835	209567	6377083.101	6377083123
13:19:00 402437	105.2595	210519	6377115.077	6377115105
13:19:00 434341	105.746	211492	6377146.981	6377147036
13:19:00 466277	106.2255	212451	6377178.917	6377178945
13:19:00 498235	106.7	213400	6377210.875	6377210901
13:19:00 530272	107.1755	214351	6377242.912	6377242948
13:19:00 562176	107.658	215316	6377274.816	6377274838
13:19:00 594135	108.1335	216267	6377306.775	6377306797
13:19:00 626166	108.6085	217217	6377338.806	6377338829
13:19:00 658079	109.099	218198	6377370.719	6377370749
13:19:00 690069	109.574	219148	6377402.709	6377402729
